FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
0,IP,,,,1,08/01/2022,08/31/2022,35682,Count
0,IP,,,,2,09/01/2022,09/30/2022,34208,Count
0,IP,,,,3,10/01/2022,10/31/2022,34814,Count
0,IP,,,,4,11/01/2022,11/30/2022,34995,Count
0,IP,,,,5,12/01/2022,12/31/2022,34936,Count
0,IP,,,,6,01/01/2023,01/31/2023,32532,Count
0,IP,,,,7,02/01/2023,02/28/2023,29709,Count
0,IP,,,,8,03/01/2023,03/31/2023,33560,Count
0,IP,,,,9,04/01/2023,04/30/2023,31185,Count
0,IP,,,,10,05/01/2023,05/31/2023,32972,Count
0,IP,,,,11,06/01/2023,06/30/2023,32106,Count
0,IP,,,,12,07/01/2023,07/31/2023,32257,Count
0,IP,,,,13,08/01/2023,08/31/2023,33179,Count
0,IP,,,,14,09/01/2023,09/30/2023,31566,Count
0,IP,,,,15,10/01/2023,10/31/2023,33161,Count
0,IP,,,,16,11/01/2023,11/30/2023,32440,Count
0,IP,,,,17,12/01/2023,12/31/2023,32969,Count
0,IP,,,,18,01/01/2024,01/31/2024,34057,Count
0,IP,,,,19,02/01/2024,02/29/2024,31221,Count
0,IP,,,,20,03/01/2024,03/31/2024,32907,Count
0,IP,,,,21,04/01/2024,04/30/2024,33313,Count
0,IP,,,,22,05/01/2024,05/31/2024,33262,Count
0,IP,,,,23,06/01/2024,06/30/2024,31837,Count
0,IP,,,,24,07/01/2024,07/31/2024,27032,Count
0,ED,,,,1,08/01/2022,08/31/2022,106612,Count
0,ED,,,,2,09/01/2022,09/30/2022,105078,Count
0,ED,,,,3,10/01/2022,10/31/2022,109792,Count
0,ED,,,,4,11/01/2022,11/30/2022,108859,Count
0,ED,,,,5,12/01/2022,12/31/2022,105177,Count
0,ED,,,,6,01/01/2023,01/31/2023,90558,Count
0,ED,,,,7,02/01/2023,02/28/2023,85099,Count
0,ED,,,,8,03/01/2023,03/31/2023,95630,Count
0,ED,,,,9,04/01/2023,04/30/2023,92084,Count
