academic_year,place_of_origin,field_of_study,value,unit,note
2023-24,India,Undergraduate,36053,value in Absolute Number,
2023-24,India,Graduate,196567,value in Absolute Number,
2023-24,India,NonDegree,1426,value in Absolute Number,
2023-24,India,OPT,97556,value in Absolute Number,
2022-23,India,Undergraduate,31954,value in Absolute Number,
2022-23,India,Graduate,165936,value in Absolute Number,
2022-23,India,NonDegree,1971,value in Absolute Number,
2022-23,India,OPT,69062,value in Absolute Number,
2021-22,India,Undergraduate,27545,value in Absolute Number,
2021-22,India,Graduate,102024,value in Absolute Number,
2021-22,India,NonDegree,1425,value in Absolute Number,
2021-22,India,OPT,68188,value in Absolute Number,
2020-21,India,Undergraduate,23734,value in Absolute Number,
2020-21,India,Graduate,68869,value in Absolute Number,
2020-21,India,NonDegree,1378,value in Absolute Number,
2020-21,India,OPT,73601,value in Absolute Number,
2019-20,India,Undergraduate,25032,value in Absolute Number,
2019-20,India,Graduate,85160,value in Absolute Number,
2019-20,India,NonDegree,1759,value in Absolute Number,
2019-20,India,OPT,81173,value in Absolute Number,
2018-19,India,Undergraduate,24813,value in Absolute Number,
2018-19,India,Graduate,90333,value in Absolute Number,
2018-19,India,NonDegree,2238,value in Absolute Number,
2018-19,India,OPT,84630,value in Absolute Number,
2017-18,India,Undergraduate,23346,value in Absolute Number,
2017-18,India,Graduate,95651,value in Absolute Number,
2017-18,India,NonDegree,1884,value in Absolute Number,
2017-18,India,OPT,75390,value in Absolute Number,
2016-17,India,Undergraduate,21977,value in Absolute Number,
2016-17,India,Graduate,104899,value in Absolute Number,
2016-17,India,NonDegree,2259,value in Absolute Number,
2016-17,India,OPT,57132,value in Absolute Number,
2015-16,India,Undergraduate,19302,value in Absolute Number,
2015-16,India,Graduate,101850,value in Absolute Number,
2015-16,India,NonDegree,2438,value in Absolute Number,
2015-16,India,OPT,42328,value in Absolute Number,
2014-15,India,Undergraduate,16521,value in Absolute Number,
2014-15,India,Graduate,85055,value in Absolute Number,
2014-15,India,NonDegree,1924,value in Absolute Number,
2014-15,India,OPT,29388,value in Absolute Number,
2013-14,India,Undergraduate,12677,value in Absolute Number,
2013-14,India,Graduate,61058,value in Absolute Number,
2013-14,India,NonDegree,1242,value in Absolute Number,
2013-14,India,OPT,27696,value in Absolute Number,
2012-13,India,Undergraduate,12740,value in Absolute Number,
2012-13,India,Graduate,54607,value in Absolute Number,
2012-13,India,NonDegree,1576,value in Absolute Number,
2012-13,India,OPT,27831,value in Absolute Number,
2011-12,India,Undergraduate,13059,value in Absolute Number,
2011-12,India,Graduate,59014,value in Absolute Number,
2011-12,India,NonDegree,1455,value in Absolute Number,
2011-12,India,OPT,26742,value in Absolute Number,
2010-11,India,Undergraduate,14004,value in Absolute Number,
2010-11,India,Graduate,63624,value in Absolute Number,
2010-11,India,NonDegree,1602,value in Absolute Number,
2010-11,India,OPT,24665,value in Absolute Number,
2009-10,India,Undergraduate,15192,value in Absolute Number,
2009-10,India,Graduate,68290,value in Absolute Number,
2009-10,India,NonDegree,1758,value in Absolute Number,
2009-10,India,OPT,19657,value in Absolute Number,
2008-09,India,Undergraduate,15600,value in Absolute Number,
2008-09,India,Graduate,71019,value in Absolute Number,
2008-09,India,NonDegree,1755,value in Absolute Number,
2008-09,India,OPT,14886,value in Absolute Number,
2007-08,India,Undergraduate,13639,value in Absolute Number,
2007-08,India,Graduate,68069,value in Absolute Number,
2007-08,India,NonDegree,2009,value in Absolute Number,
2007-08,India,OPT,10846,value in Absolute Number,
2006-07,India,Undergraduate,12581,value in Absolute Number,
2006-07,India,Graduate,59570,value in Absolute Number,
2006-07,India,NonDegree,979,value in Absolute Number,
2006-07,India,OPT,10703,value in Absolute Number,
2005-06,India,Undergraduate,12726,value in Absolute Number,
2005-06,India,Graduate,56397,value in Absolute Number,
2005-06,India,Other,7380,value in Absolute Number,field_of_study: NonDegree and OPT were included in Other category
2004-05,India,Undergraduate,16443,value in Absolute Number,
2004-05,India,Graduate,57976,value in Absolute Number,
2004-05,India,Other,6047,value in Absolute Number,field_of_study: NonDegree and OPT were included in Other category
2003-04,India,Undergraduate,13531,value in Absolute Number,
2003-04,India,Graduate,63013,value in Absolute Number,
2003-04,India,Other,3192,value in Absolute Number,field_of_study: NonDegree and OPT were included in Other category
2002-03,India,Undergraduate,13813,value in Absolute Number,
2002-03,India,Graduate,58322,value in Absolute Number,
2002-03,India,Other,2467,value in Absolute Number,field_of_study: NonDegree and OPT were included in Other category
2001-02,India,Undergraduate,14321,value in Absolute Number,
2001-02,India,Graduate,49730,value in Absolute Number,
2001-02,India,Other,2785,value in Absolute Number,field_of_study: NonDegree and OPT were included in Other category
2000-01,India,Undergraduate,12259,value in Absolute Number,
2000-01,India,Graduate,39797,value in Absolute Number,
2000-01,India,Other,2608,value in Absolute Number,field_of_study: NonDegree and OPT were included in Other category
