year,month,state,rto,type,maker,vehicle_category,value,unit,note
2025,January,Ladakh,All Vahan Running Office,Non Transport,CNH INDUSTRIAL (INDIA) PVT LTD,LMV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),HMV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,HERO MOTOCORP LTD,2WN,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2WN,11,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,HYUNDAI MOTOR INDIA LTD,LMV,20,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,INTERNATIONAL TRACTORS LIMITED,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,ISUZU MOTORS INDIA PVT LTD,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,KIA INDIA PRIVATE LIMITED,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,MAHINDRA & MAHINDRA LIMITED,LMV,20,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,MARUTI SUZUKI INDIA LTD,LMV,76,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,SUZUKI MOTORCYCLE INDIA PVT LTD,2WN,5,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,TATA MOTORS PASSENGER VEHICLES LTD,LMV,23,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,TOYOTA KIRLOSKAR MOTOR PVT LTD,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Non Transport,TVS MOTOR COMPANY LTD,2WN,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,ACTION CONSTRUCTION EQUIPMENT LTD.,OTH,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,ASHOK LEYLAND LTD,HGV,4,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,ASHOK LEYLAND LTD,HPV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,ASHOK LEYLAND LTD,MGV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,ISUZU MOTORS INDIA PVT LTD,LGV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,KIA INDIA PRIVATE LIMITED,LPV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,MAHINDRA & MAHINDRA LIMITED,LGV,21,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,MARUTI SUZUKI INDIA LTD,LPV,4,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,ROYAL-ENFIELD (UNIT OF EICHER LTD),2WT,10,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,SML ISUZU LTD,LPV,4,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,SML ISUZU LTD,MGV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,TATA MOTORS LTD,HGV,10,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,TATA MOTORS LTD,LGV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport,TOYOTA KIRLOSKAR MOTOR PVT LTD,LPV,12,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ACTION CONSTRUCTION EQUIPMENT LTD.,OTH,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ASHOK LEYLAND LTD,HGV,4,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ASHOK LEYLAND LTD,HPV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ASHOK LEYLAND LTD,MGV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,CNH INDUSTRIAL (INDIA) PVT LTD,LMV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),HMV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,HERO MOTOCORP LTD,2WN,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2WN,11,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,HYUNDAI MOTOR INDIA LTD,LMV,20,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,INTERNATIONAL TRACTORS LIMITED,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ISUZU MOTORS INDIA PVT LTD,LGV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ISUZU MOTORS INDIA PVT LTD,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,KIA INDIA PRIVATE LIMITED,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,KIA INDIA PRIVATE LIMITED,LPV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,MAHINDRA & MAHINDRA LIMITED,LGV,21,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,MAHINDRA & MAHINDRA LIMITED,LMV,20,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,MARUTI SUZUKI INDIA LTD,LMV,76,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,MARUTI SUZUKI INDIA LTD,LPV,4,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,ROYAL-ENFIELD (UNIT OF EICHER LTD),2WT,10,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,SML ISUZU LTD,LPV,4,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,SML ISUZU LTD,MGV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,SUZUKI MOTORCYCLE INDIA PVT LTD,2WN,5,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,TATA MOTORS LTD,HGV,10,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,TATA MOTORS LTD,LGV,2,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,TATA MOTORS PASSENGER VEHICLES LTD,LMV,23,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,TOYOTA KIRLOSKAR MOTOR PVT LTD,LMV,1,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,TOYOTA KIRLOSKAR MOTOR PVT LTD,LPV,12,value in Absolute Number,
2025,January,Ladakh,All Vahan Running Office,Transport and Non Transport,TVS MOTOR COMPANY LTD,2WN,2,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,CATERPILLAR INDIA PRIVATE LIMITED,HMV,1,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,CNH INDUSTRIAL (INDIA) PVT LTD,LMV,1,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2WN,2,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,HYUNDAI MOTOR INDIA LTD,LMV,18,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,INTERNATIONAL TRACTORS LIMITED,LMV,1,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,ISUZU MOTORS INDIA PVT LTD,LMV,1,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,JCB INDIA LIMITED,HMV,6,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,JOHN DEERE INDIA PVT LTD(TRACTOR DEVISION),LMV,3,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,KIA INDIA PRIVATE LIMITED,LMV,2,value in Absolute Number,
2024,December,Ladakh,All Vahan Running Office,Non Transport,MAHINDRA & MAHINDRA LIMITED,LMV,34,value in Absolute Number,
